full_text,casefolding,cleanedtext,slangremoved,stopwordremoved,tokenized,stemming,stemming_str,sentiment
"Kunker LN Perdana Presiden Prabowo: China, AS, Peru, Brasil, dan Inggris","kunker ln perdana presiden prabowo: china, as, peru, brasil, dan inggris",kunker ln perdana presiden prabowo china as peru brasil dan inggris,kunker ln perdana presiden prabowo china as peru brasil dan inggris,kunker ln perdana presiden prabowo china as peru brasil inggris,"['kunker', 'ln', 'perdana', 'presiden', 'prabowo', 'china', 'as', 'peru', 'brasil', 'inggris']","['kunker', 'ln', 'perdana', 'presiden', 'prabowo', 'china', 'as', 'peru', 'brasil', 'inggris']",kunker ln perdana presiden prabowo china as peru brasil inggris,positif
Kapan Prabowo Teken Aturan Parkir Dolar AS 100% di RI? Mensesneg Bilang Gini,kapan prabowo teken aturan parkir dolar as 100% di ri? mensesneg bilang gini,kapan prabowo teken aturan parkir dolar as di ri mensesneg bilang gini,kapan prabowo teken aturan parkir dolar as di ri mensesneg bilang begini,prabowo teken aturan parkir dolar as ri mensesneg bilang,"['prabowo', 'teken', 'aturan', 'parkir', 'dolar', 'as', 'ri', 'mensesneg', 'bilang']","['prabowo', 'teken', 'atur', 'parkir', 'dolar', 'as', 'ri', 'mensesneg', 'bilang']",prabowo teken atur parkir dolar as ri mensesneg bilang,negatif
Menteri Iftitah: SBY Akan Bantu Prabowo Tanpa Harus Jabat Posisi Tertentu,menteri iftitah: sby akan bantu prabowo tanpa harus jabat posisi tertentu,menteri iftitah sby akan bantu prabowo tanpa harus jabat posisi tertentu,menteri iftitah surabaya akan bantu prabowo tanpa harus jabat posisi tertentu,menteri iftitah surabaya bantu prabowo jabat posisi,"['menteri', 'iftitah', 'surabaya', 'bantu', 'prabowo', 'jabat', 'posisi']","['menteri', 'iftitah', 'surabaya', 'bantu', 'prabowo', 'jabat', 'posisi']",menteri iftitah surabaya bantu prabowo jabat posisi,negatif
"Video: Gelar Aksi Bela Palestina, FPI Minta Prabowo Kirim Pasukan Perdamaian","video: gelar aksi bela palestina, fpi minta prabowo kirim pasukan perdamaian",video gelar aksi bela palestina fpi minta prabowo kirim pasukan perdamaian,video gelar aksi bela palestina fpi meminta prabowo kirim pasukan perdamaian,video gelar aksi bela palestina fpi prabowo kirim pasukan perdamaian,"['video', 'gelar', 'aksi', 'bela', 'palestina', 'fpi', 'prabowo', 'kirim', 'pasukan', 'perdamaian']","['video', 'gelar', 'aksi', 'bela', 'palestina', 'fpi', 'prabowo', 'kirim', 'pasu', 'damai']",video gelar aksi bela palestina fpi prabowo kirim pasu damai,positif
Momen Presiden Prabowo Memulai Lawatan Perdana ke Luar Negeri,momen presiden prabowo memulai lawatan perdana ke luar negeri,momen presiden prabowo memulai lawatan perdana ke luar negeri,momen presiden prabowo memulai lawatan perdana ke luar negeri,momen presiden prabowo lawatan perdana negeri,"['momen', 'presiden', 'prabowo', 'lawatan', 'perdana', 'negeri']","['momen', 'presiden', 'prabowo', 'lawat', 'perdana', 'negeri']",momen presiden prabowo lawat perdana negeri,positif
Prabowo Resmikan 26 Pembangkit Listrik dan 11 Gardu Induk,prabowo resmikan 26 pembangkit listrik dan 11 gardu induk,prabowo resmikan pembangkit listrik dan gardu induk,prabowo resmikan pembangkit listrik dan gardu induk,prabowo resmikan pembangkit listrik gardu induk,"['prabowo', 'resmikan', 'pembangkit', 'listrik', 'gardu', 'induk']","['prabowo', 'resmi', 'bangkit', 'listrik', 'gardu', 'induk']",prabowo resmi bangkit listrik gardu induk,negatif
Segini Gaji Gus Miftah sebagai Utusan Khusus Prabowo,segini gaji gus miftah sebagai utusan khusus prabowo,segini gaji gus miftah sebagai utusan khusus prabowo,segini gaji gus miftah sebagai utusan khusus prabowo,segini gaji gus miftah utusan khusus prabowo,"['segini', 'gaji', 'gus', 'miftah', 'utusan', 'khusus', 'prabowo']","['gin', 'gaji', 'gus', 'miftah', 'utus', 'khusus', 'prabowo']",gin gaji gus miftah utus khusus prabowo,netral
Kedatangan Prabowo di KTT APEC dan G20 Membawa Dampak Apa bagi Pariwisata?,kedatangan prabowo di ktt apec dan g20 membawa dampak apa bagi pariwisata?,kedatangan prabowo di ktt apec dan g membawa dampak apa bagi pariwisata,kedatangan prabowo di ktt apec dan tidak membawa dampak apa bagi pariwisata,kedatangan prabowo ktt apec membawa dampak pariwisata,"['kedatangan', 'prabowo', 'ktt', 'apec', 'membawa', 'dampak', 'pariwisata']","['datang', 'prabowo', 'ktt', 'apec', 'bawa', 'dampak', 'pariwisata']",datang prabowo ktt apec bawa dampak pariwisata,negatif
Prabowo Usai Makan Bareng Jokowi di Solo: Ngobrol Masalah Ini dan Itu,prabowo usai makan bareng jokowi di solo: ngobrol masalah ini dan itu,prabowo usai makan bareng jokowi di solo ngobrol masalah ini dan itu,prabowo usai makan bareng jokowi di solo mengobrol masalah ini dan itu,prabowo makan bareng jokowi solo mengobrol,"['prabowo', 'makan', 'bareng', 'jokowi', 'solo', 'mengobrol']","['prabowo', 'makan', 'bareng', 'jokowi', 'solo', 'obrol']",prabowo makan bareng jokowi solo obrol,negatif
Cak Imin Ungkap Diminta Prabowo Entaskan Kemiskinan Ekstrem dalam 2 Tahun,cak imin ungkap diminta prabowo entaskan kemiskinan ekstrem dalam 2 tahun,cak imin ungkap diminta prabowo entaskan kemiskinan ekstrem dalam tahun,cak imin ungkap diminta prabowo entaskan kemiskinan ekstrem dalam tahun,cak imin prabowo entaskan kemiskinan ekstrem,"['cak', 'imin', 'prabowo', 'entaskan', 'kemiskinan', 'ekstrem']","['cak', 'imin', 'prabowo', 'entas', 'miskin', 'ekstrem']",cak imin prabowo entas miskin ekstrem,negatif
"Bertemu PM Ishiba, Prabowo Ajak Jepang Kerja Sama Program Hilirisasi","bertemu pm ishiba, prabowo ajak jepang kerja sama program hilirisasi",bertemu pm ishiba prabowo ajak jepang kerja sama program hilirisasi,bertemu pm ishiba prabowo ajak jepang kerja sama program hilirisasi,bertemu pm ishiba prabowo ajak jepang kerja program hilirisasi,"['bertemu', 'pm', 'ishiba', 'prabowo', 'ajak', 'jepang', 'kerja', 'program', 'hilirisasi']","['temu', 'pm', 'ishiba', 'prabowo', 'ajak', 'jepang', 'kerja', 'program', 'hilir']",temu pm ishiba prabowo ajak jepang kerja program hilir,positif
Prabowo Yakin RI Tak Impor BBM 5 Tahun Lagi,prabowo yakin ri tak impor bbm 5 tahun lagi,prabowo yakin ri tak impor bbm tahun lagi,prabowo yakin ri tak impor bbm tahun lagi,prabowo ri impor bbm,"['prabowo', 'ri', 'impor', 'bbm']","['prabowo', 'ri', 'impor', 'bbm']",prabowo ri impor bbm,netral
"Prabowo Hemat Anggaran Rp 306 T, buat Tambahan Makan Bergizi Gratis?","prabowo hemat anggaran rp 306 t, buat tambahan makan bergizi gratis?",prabowo hemat anggaran rp t buat tambahan makan bergizi gratis,prabowo hemat anggaran rp t buat tambahan makan bergizi gratis,prabowo hemat anggaran rp t tambahan makan bergizi gratis,"['prabowo', 'hemat', 'anggaran', 'rp', 't', 'tambahan', 'makan', 'bergizi', 'gratis']","['prabowo', 'hemat', 'anggar', 'rp', 't', 'tambah', 'makan', 'gizi', 'gratis']",prabowo hemat anggar rp t tambah makan gizi gratis,positif
Daerah Khusus Jakarta Baru Terjadi Setelah Prabowo Teken Perpres,daerah khusus jakarta baru terjadi setelah prabowo teken perpres,daerah khusus jakarta baru terjadi setelah prabowo teken perpres,daerah khusus jakarta baru terjadi setelah prabowo teken perpres,daerah khusus jakarta prabowo teken perpres,"['daerah', 'khusus', 'jakarta', 'prabowo', 'teken', 'perpres']","['daerah', 'khusus', 'jakarta', 'prabowo', 'teken', 'pres']",daerah khusus jakarta prabowo teken pres,netral
"Presiden Prabowo Makan Bersama Jokowi di Angkringan Omah Semar, Ini Faktanya!","presiden prabowo makan bersama jokowi di angkringan omah semar, ini faktanya!",presiden prabowo makan bersama jokowi di angkringan omah semar ini faktanya,presiden prabowo makan bersama jokowi di angkringan omah semar ini faktanya,presiden prabowo makan jokowi angkringan omah semar faktanya,"['presiden', 'prabowo', 'makan', 'jokowi', 'angkringan', 'omah', 'semar', 'faktanya']","['presiden', 'prabowo', 'makan', 'jokowi', 'angkring', 'omah', 'mar', 'fakta']",presiden prabowo makan jokowi angkring omah mar fakta,negatif
Pramono Anung Paparkan Program Sarapan Bergizi Gratis di Jakarta,pramono anung paparkan program sarapan bergizi gratis di jakarta,pramono anung paparkan program sarapan bergizi gratis di jakarta,pramono anung paparkan program sarapan bergizi gratis di jakarta,pramono anung paparkan program sarapan bergizi gratis jakarta,"['pramono', 'anung', 'paparkan', 'program', 'sarapan', 'bergizi', 'gratis', 'jakarta']","['pramono', 'anung', 'papar', 'program', 'sarap', 'gizi', 'gratis', 'jakarta']",pramono anung papar program sarap gizi gratis jakarta,positif
"Ingin Jadikan Bali 'New Hongkong', Prabowo Akan Bangun Bandara di Buleleng","ingin jadikan bali 'new hongkong', prabowo akan bangun bandara di buleleng",ingin jadikan bali new hongkong prabowo akan bangun bandara di buleleng,ingin jadikan bali new hongkong prabowo akan bangun bandara di buleleng,jadikan bali new hongkong prabowo bangun bandara buleleng,"['jadikan', 'bali', 'new', 'hongkong', 'prabowo', 'bangun', 'bandara', 'buleleng']","['jadi', 'bal', 'new', 'hongkong', 'prabowo', 'bangun', 'bandara', 'buleleng']",jadi bal new hongkong prabowo bangun bandara buleleng,negatif
Arahan Prabowo ke Jajaran: Jangan Ragu Tindak Tegas Judol hingga Korupsi,arahan prabowo ke jajaran: jangan ragu tindak tegas judol hingga korupsi,arahan prabowo ke jajaran jangan ragu tindak tegas judol hingga korupsi,arahan prabowo ke jajaran jangan ragu tindak tegas judol hingga korupsi,arahan prabowo jajaran ragu tindak judol korupsi,"['arahan', 'prabowo', 'jajaran', 'ragu', 'tindak', 'judol', 'korupsi']","['arah', 'prabowo', 'jajar', 'ragu', 'tindak', 'judol', 'korupsi']",arah prabowo jajar ragu tindak judol korupsi,negatif
"Viral Prabowo-Gibran Bagi-bagi Uang Puluhan Juta, Komdigi Pastikan Hoax","viral prabowo-gibran bagi-bagi uang puluhan juta, komdigi pastikan hoax",viral prabowo gibran bagi bagi uang puluhan juta komdigi pastikan hoax,viral prabowo gibran bagi bagi uang puluhan juta komdigi pastikan hoax,viral prabowo gibran uang puluhan juta komdigi pastikan hoax,"['viral', 'prabowo', 'gibran', 'uang', 'puluhan', 'juta', 'komdigi', 'pastikan', 'hoax']","['viral', 'prabowo', 'gibran', 'uang', 'puluh', 'juta', 'komdigi', 'pasti', 'hoax']",viral prabowo gibran uang puluh juta komdigi pasti hoax,netral
"Prabowo Siapkan 'Retreat' Kepala Daerah Terpilih, Pramono Pastikan Ikut","prabowo siapkan 'retreat' kepala daerah terpilih, pramono pastikan ikut",prabowo siapkan retreat kepala daerah terpilih pramono pastikan ikut,prabowo siapkan retreat kepala daerah terpilih pramono pastikan ikut,prabowo siapkan retreat kepala daerah terpilih pramono pastikan,"['prabowo', 'siapkan', 'retreat', 'kepala', 'daerah', 'terpilih', 'pramono', 'pastikan']","['prabowo', 'siap', 'retreat', 'kepala', 'daerah', 'pilih', 'pramono', 'pasti']",prabowo siap retreat kepala daerah pilih pramono pasti,positif
"Prabowo Minta Jajarannya Jangan Banyak Omon-Omon: Sekarang Aksi, Aksi, Aksi","prabowo minta jajarannya jangan banyak omon-omon: sekarang aksi, aksi, aksi",prabowo minta jajarannya jangan banyak omon omon sekarang aksi aksi aksi,prabowo meminta jajarannya jangan banyak omon omon sekarang aksi aksi aksi,prabowo jajarannya omon omon aksi aksi aksi,"['prabowo', 'jajarannya', 'omon', 'omon', 'aksi', 'aksi', 'aksi']","['prabowo', 'jajar', 'omon', 'omon', 'aksi', 'aksi', 'aksi']",prabowo jajar omon omon aksi aksi aksi,positif
"Puluhan Pembangkit Diresmikan Prabowo, Investasinya Tembus Rp 72 T","puluhan pembangkit diresmikan prabowo, investasinya tembus rp 72 t",puluhan pembangkit diresmikan prabowo investasinya tembus rp t,puluhan pembangkit diresmikan prabowo investasinya tembus rp t,puluhan pembangkit diresmikan prabowo investasinya tembus rp t,"['puluhan', 'pembangkit', 'diresmikan', 'prabowo', 'investasinya', 'tembus', 'rp', 't']","['puluh', 'bangkit', 'resmi', 'prabowo', 'investasi', 'tembus', 'rp', 't']",puluh bangkit resmi prabowo investasi tembus rp t,positif
"Soal Baterai Mobil Listrik, Erick Thohir Sebut Prabowo Dorong Investasi Ford-VW","soal baterai mobil listrik, erick thohir sebut prabowo dorong investasi ford-vw",soal baterai mobil listrik erick thohir sebut prabowo dorong investasi ford vw,soal baterai mobil listrik erick thohir sebut prabowo dorong investasi ford vw,baterai mobil listrik erick thohir prabowo dorong investasi ford vw,"['baterai', 'mobil', 'listrik', 'erick', 'thohir', 'prabowo', 'dorong', 'investasi', 'ford', 'vw']","['baterai', 'mobil', 'listrik', 'erick', 'thohir', 'prabowo', 'dorong', 'investasi', 'ford', 'vw']",baterai mobil listrik erick thohir prabowo dorong investasi ford vw,negatif
AHY Ungkap Isi Pertemuan Prabowo dan SBY di Cikeas Malam Ini,ahy ungkap isi pertemuan prabowo dan sby di cikeas malam ini,ahy ungkap isi pertemuan prabowo dan sby di cikeas malam ini,ahy ungkap isi pertemuan prabowo dan surabaya di cikeas malam ini,ahy isi pertemuan prabowo surabaya cikeas malam,"['ahy', 'isi', 'pertemuan', 'prabowo', 'surabaya', 'cikeas', 'malam']","['ahy', 'isi', 'temu', 'prabowo', 'surabaya', 'cikeas', 'malam']",ahy isi temu prabowo surabaya cikeas malam,negatif
2 Menteri Prabowo Respons Munculnya Maskapai Baru Fly Jaya,2 menteri prabowo respons munculnya maskapai baru fly jaya,menteri prabowo respons munculnya maskapai baru fly jaya,menteri prabowo respons munculnya maskapai baru fly jaya,menteri prabowo respons munculnya maskapai fly jaya,"['menteri', 'prabowo', 'respons', 'munculnya', 'maskapai', 'fly', 'jaya']","['menteri', 'prabowo', 'respons', 'muncul', 'maskapai', 'fly', 'jaya']",menteri prabowo respons muncul maskapai fly jaya,positif
"Prabowo-Jokowi Makan Malam di Solo, Menu Nasi Goreng Jawa","prabowo-jokowi makan malam di solo, menu nasi goreng jawa",prabowo jokowi makan malam di solo menu nasi goreng jawa,prabowo jokowi makan malam di solo menu nasi goreng jawa,prabowo jokowi makan malam solo menu nasi goreng jawa,"['prabowo', 'jokowi', 'makan', 'malam', 'solo', 'menu', 'nasi', 'goreng', 'jawa']","['prabowo', 'jokowi', 'makan', 'malam', 'solo', 'menu', 'nasi', 'goreng', 'jawa']",prabowo jokowi makan malam solo menu nasi goreng jawa,netral
"Airlangga dan Trenggono Menghadap Prabowo di Istana, Bahas Apa?","airlangga dan trenggono menghadap prabowo di istana, bahas apa?",airlangga dan trenggono menghadap prabowo di istana bahas apa,airlangga dan trenggono menghadap prabowo di istana bahas apa,airlangga trenggono menghadap prabowo istana bahas,"['airlangga', 'trenggono', 'menghadap', 'prabowo', 'istana', 'bahas']","['airlangga', 'trenggono', 'hadap', 'prabowo', 'istana', 'bahas']",airlangga trenggono hadap prabowo istana bahas,positif
"Makan Malam dengan Jokowi, Prabowo: Ngobrol Masalah Ini dan Itu","makan malam dengan jokowi, prabowo: ngobrol masalah ini dan itu",makan malam dengan jokowi prabowo ngobrol masalah ini dan itu,makan malam dengan jokowi prabowo mengobrol masalah ini dan itu,makan malam jokowi prabowo mengobrol,"['makan', 'malam', 'jokowi', 'prabowo', 'mengobrol']","['makan', 'malam', 'jokowi', 'prabowo', 'obrol']",makan malam jokowi prabowo obrol,negatif
"Prabowo Gelar Sidang Kabinet Paripurna, Para Menteri Kompak Pakai Kemeja Putih","prabowo gelar sidang kabinet paripurna, para menteri kompak pakai kemeja putih",prabowo gelar sidang kabinet paripurna para menteri kompak pakai kemeja putih,prabowo gelar sidang kabinet paripurna para menteri kompak pakai kemeja putih,prabowo gelar sidang kabinet paripurna menteri kompak pakai kemeja putih,"['prabowo', 'gelar', 'sidang', 'kabinet', 'paripurna', 'menteri', 'kompak', 'pakai', 'kemeja', 'putih']","['prabowo', 'gelar', 'sidang', 'kabinet', 'paripurna', 'menteri', 'kompak', 'pakai', 'kemeja', 'putih']",prabowo gelar sidang kabinet paripurna menteri kompak pakai kemeja putih,negatif
"Prabowo Pantau Area Program Lumbung Pangan di Merauke, Ada Kepala BIN","prabowo pantau area program lumbung pangan di merauke, ada kepala bin",prabowo pantau area program lumbung pangan di merauke ada kepala bin,prabowo pantau area program lumbung pangan di merauke ada kepala bin,prabowo pantau area program lumbung pangan merauke kepala bin,"['prabowo', 'pantau', 'area', 'program', 'lumbung', 'pangan', 'merauke', 'kepala', 'bin']","['prabowo', 'pantau', 'area', 'program', 'lumbung', 'pangan', 'merauke', 'kepala', 'bin']",prabowo pantau area program lumbung pangan merauke kepala bin,positif
Momen Prabowo dan Jokowi Wedangan-Makan Malam Bareng di Solo,momen prabowo dan jokowi wedangan-makan malam bareng di solo,momen prabowo dan jokowi wedangan makan malam bareng di solo,momen prabowo dan jokowi wedangan makan malam bareng di solo,momen prabowo jokowi wedangan makan malam bareng solo,"['momen', 'prabowo', 'jokowi', 'wedangan', 'makan', 'malam', 'bareng', 'solo']","['momen', 'prabowo', 'jokowi', 'wedang', 'makan', 'malam', 'bareng', 'solo']",momen prabowo jokowi wedang makan malam bareng solo,negatif
Video: Pengamat soal Penerima LPDP Diminta Dukung Program Prabowo,video: pengamat soal penerima lpdp diminta dukung program prabowo,video pengamat soal penerima lpdp diminta dukung program prabowo,video pengamat soal penerima lpdp diminta dukung program prabowo,video pengamat penerima lpdp dukung program prabowo,"['video', 'pengamat', 'penerima', 'lpdp', 'dukung', 'program', 'prabowo']","['video', 'amat', 'terima', 'lpdp', 'dukung', 'program', 'prabowo']",video amat terima lpdp dukung program prabowo,positif
"Prabowo Rogoh Kocek Pribadi buat Retreat Kabinet, Persiapan Sejak Sebelum Dilantik","prabowo rogoh kocek pribadi buat retreat kabinet, persiapan sejak sebelum dilantik",prabowo rogoh kocek pribadi buat retreat kabinet persiapan sejak sebelum dilantik,prabowo rogoh kocek pribadi buat retreat kabinet persiapan sejak sebelum dilantik,prabowo rogoh kocek pribadi retreat kabinet persiapan dilantik,"['prabowo', 'rogoh', 'kocek', 'pribadi', 'retreat', 'kabinet', 'persiapan', 'dilantik']","['prabowo', 'rogoh', 'kocek', 'pribadi', 'retreat', 'kabinet', 'siap', 'lantik']",prabowo rogoh kocek pribadi retreat kabinet siap lantik,negatif
Video: Prabowo Targetkan Akhir 2025 Seluruh Anak Dapat Akses Makan Bergizi Gratis,video: prabowo targetkan akhir 2025 seluruh anak dapat akses makan bergizi gratis,video prabowo targetkan akhir seluruh anak dapat akses makan bergizi gratis,video prabowo targetkan akhir seluruh anak dapat akses makan bergizi gratis,video prabowo targetkan anak akses makan bergizi gratis,"['video', 'prabowo', 'targetkan', 'anak', 'akses', 'makan', 'bergizi', 'gratis']","['video', 'prabowo', 'target', 'anak', 'akses', 'makan', 'gizi', 'gratis']",video prabowo target anak akses makan gizi gratis,positif
"Airlangga hingga Trenggono Menghadap Prabowo di Istana, Ada Apa?","airlangga hingga trenggono menghadap prabowo di istana, ada apa?",airlangga hingga trenggono menghadap prabowo di istana ada apa,airlangga hingga trenggono menghadap prabowo di istana ada apa,airlangga trenggono menghadap prabowo istana,"['airlangga', 'trenggono', 'menghadap', 'prabowo', 'istana']","['airlangga', 'trenggono', 'hadap', 'prabowo', 'istana']",airlangga trenggono hadap prabowo istana,netral
Video Prabowo Sapa Titiek di Deklarasi GSN: Kok Tepuk Tangannya Paling Keras?,video prabowo sapa titiek di deklarasi gsn: kok tepuk tangannya paling keras?,video prabowo sapa titiek di deklarasi gsn kok tepuk tangannya paling keras,video prabowo sapa titiek di deklarasi gsn kok tepuk tangannya paling keras,video prabowo sapa titiek deklarasi gsn tepuk tangannya keras,"['video', 'prabowo', 'sapa', 'titiek', 'deklarasi', 'gsn', 'tepuk', 'tangannya', 'keras']","['video', 'prabowo', 'sapa', 'titiek', 'deklarasi', 'gsn', 'tepuk', 'tangan', 'keras']",video prabowo sapa titiek deklarasi gsn tepuk tangan keras,negatif
Abdul Mu'ti Siap Ikuti Arahan Prabowo: Maung Jadi Mobil Dinas Menteri,abdul mu'ti siap ikuti arahan prabowo: maung jadi mobil dinas menteri,abdul mu ti siap ikuti arahan prabowo maung jadi mobil dinas menteri,abdul mu ti siap ikuti arahan prabowo maung jadi mobil dinas menteri,abdul mu ti ikuti arahan prabowo maung mobil dinas menteri,"['abdul', 'mu', 'ti', 'ikuti', 'arahan', 'prabowo', 'maung', 'mobil', 'dinas', 'menteri']","['abdul', 'mu', 'ti', 'ikut', 'arah', 'prabowo', 'maung', 'mobil', 'dinas', 'menteri']",abdul mu ti ikut arah prabowo maung mobil dinas menteri,negatif
Wajah Kemiskinan yang Jadi PR Pemerintahan Prabowo,wajah kemiskinan yang jadi pr pemerintahan prabowo,wajah kemiskinan yang jadi pr pemerintahan prabowo,wajah kemiskinan yang jadi pr pemerintahan prabowo,wajah kemiskinan pr pemerintahan prabowo,"['wajah', 'kemiskinan', 'pr', 'pemerintahan', 'prabowo']","['wajah', 'miskin', 'pr', 'perintah', 'prabowo']",wajah miskin pr perintah prabowo,negatif
Alasan Prabowo Ngotot Selamatkan Sritex dari Pailit,alasan prabowo ngotot selamatkan sritex dari pailit,alasan prabowo ngotot selamatkan sritex dari pailit,alasan prabowo ngotot selamatkan sritex dari pailit,alasan prabowo ngotot selamatkan sritex pailit,"['alasan', 'prabowo', 'ngotot', 'selamatkan', 'sritex', 'pailit']","['alas', 'prabowo', 'ngotot', 'selamat', 'sritex', 'pailit']",alas prabowo ngotot selamat sritex pailit,negatif
"Prabowo ke Luar Negeri Pekan Depan, Gibran Akan Jalankan Tugas Presiden","prabowo ke luar negeri pekan depan, gibran akan jalankan tugas presiden",prabowo ke luar negeri pekan depan gibran akan jalankan tugas presiden,prabowo ke luar negeri pekan depan gibran akan jalankan tugas presiden,prabowo negeri pekan gibran jalankan tugas presiden,"['prabowo', 'negeri', 'pekan', 'gibran', 'jalankan', 'tugas', 'presiden']","['prabowo', 'negeri', 'pekan', 'gibran', 'jalan', 'tugas', 'presiden']",prabowo negeri pekan gibran jalan tugas presiden,positif
Kapan Prabowo Launching Penghapusan Utang UMKM?,kapan prabowo launching penghapusan utang umkm?,kapan prabowo launching penghapusan utang umkm,kapan prabowo launching penghapusan utang umkm,prabowo launching penghapusan utang umkm,"['prabowo', 'launching', 'penghapusan', 'utang', 'umkm']","['prabowo', 'launching', 'hapus', 'utang', 'umkm']",prabowo launching hapus utang umkm,negatif
Prabowo Hadiri Tanwir dan Milad Ke-122 Muhammadiyah di Kupang NTT,prabowo hadiri tanwir dan milad ke-122 muhammadiyah di kupang ntt,prabowo hadiri tanwir dan milad ke muhammadiyah di kupang ntt,prabowo hadiri tanwir dan milad ke muhammadiyah di kupang ntt,prabowo hadiri tanwir milad muhammadiyah kupang ntt,"['prabowo', 'hadiri', 'tanwir', 'milad', 'muhammadiyah', 'kupang', 'ntt']","['prabowo', 'hadir', 'tanwir', 'milad', 'muhammadiyah', 'kupang', 'ntt']",prabowo hadir tanwir milad muhammadiyah kupang ntt,negatif
"Sebut Kebijakan Prabowo Bagus, Tifatul Usulkan Ini Tumbuhkan UMKM","sebut kebijakan prabowo bagus, tifatul usulkan ini tumbuhkan umkm",sebut kebijakan prabowo bagus tifatul usulkan ini tumbuhkan umkm,sebut kebijakan prabowo bagus tifatul usulkan ini tumbuhkan umkm,kebijakan prabowo bagus tifatul usulkan tumbuhkan umkm,"['kebijakan', 'prabowo', 'bagus', 'tifatul', 'usulkan', 'tumbuhkan', 'umkm']","['bijak', 'prabowo', 'bagus', 'tifatul', 'usul', 'tumbuh', 'umkm']",bijak prabowo bagus tifatul usul tumbuh umkm,negatif
"Ditemani Gibran, Begini Suasana Makan Siang Prabowo dan Ketum Parpol","ditemani gibran, begini suasana makan siang prabowo dan ketum parpol",ditemani gibran begini suasana makan siang prabowo dan ketum parpol,ditemani gibran begini suasana makan siang prabowo dan ketum parpol,ditemani gibran suasana makan siang prabowo ketum parpol,"['ditemani', 'gibran', 'suasana', 'makan', 'siang', 'prabowo', 'ketum', 'parpol']","['tani', 'gibran', 'suasana', 'makan', 'siang', 'prabowo', 'tum', 'parpol']",tani gibran suasana makan siang prabowo tum parpol,positif
Prabowo Beri Libur Taruna Akmil-Akpol yang Rela Hujan-hujanan saat Parade,prabowo beri libur taruna akmil-akpol yang rela hujan-hujanan saat parade,prabowo beri libur taruna akmil akpol yang rela hujan hujanan saat parade,prabowo beri libur taruna akmil akpol yang rela hujan hujanan saat parade,prabowo libur taruna akmil akpol rela hujan hujanan parade,"['prabowo', 'libur', 'taruna', 'akmil', 'akpol', 'rela', 'hujan', 'hujanan', 'parade']","['prabowo', 'libur', 'taruna', 'akmil', 'akpol', 'rela', 'hujan', 'hujan', 'parade']",prabowo libur taruna akmil akpol rela hujan hujan parade,negatif
INDEF Bicara Faktor Tingginya Kepuasan Publik Terhadap Kinerja Prabowo-Gibran,indef bicara faktor tingginya kepuasan publik terhadap kinerja prabowo-gibran,indef bicara faktor tingginya kepuasan publik terhadap kinerja prabowo gibran,indef bicara faktor tingginya kepuasan publik terhadap kinerja prabowo gibran,indef bicara faktor tingginya kepuasan publik kinerja prabowo gibran,"['indef', 'bicara', 'faktor', 'tingginya', 'kepuasan', 'publik', 'kinerja', 'prabowo', 'gibran']","['indef', 'bicara', 'faktor', 'tinggi', 'puas', 'publik', 'kerja', 'prabowo', 'gibran']",indef bicara faktor tinggi puas publik kerja prabowo gibran,negatif
"Raja Juli Ungkap Arahan Prabowo di Retreat Hari Ini, Ada soal IKN","raja juli ungkap arahan prabowo di retreat hari ini, ada soal ikn",raja juli ungkap arahan prabowo di retreat hari ini ada soal ikn,raja juli ungkap arahan prabowo di retreat hari ini ada soal ikn,raja juli arahan prabowo retreat ikn,"['raja', 'juli', 'arahan', 'prabowo', 'retreat', 'ikn']","['raja', 'juli', 'arah', 'prabowo', 'retreat', 'ikn']",raja juli arah prabowo retreat ikn,negatif
Video Momen Prabowo Hujan-hujanan saat Retret Menteri di Akmil Magelang,video momen prabowo hujan-hujanan saat retret menteri di akmil magelang,video momen prabowo hujan hujanan saat retret menteri di akmil magelang,video momen prabowo hujan hujanan saat retret menteri di akmil magelang,video momen prabowo hujan hujanan retret menteri akmil magelang,"['video', 'momen', 'prabowo', 'hujan', 'hujanan', 'retret', 'menteri', 'akmil', 'magelang']","['video', 'momen', 'prabowo', 'hujan', 'hujan', 'retret', 'menteri', 'akmil', 'magelang']",video momen prabowo hujan hujan retret menteri akmil magelang,negatif
Video Momen Prabowo Naik Maung Garuda saat Tiba di Akmil Magelang,video momen prabowo naik maung garuda saat tiba di akmil magelang,video momen prabowo naik maung garuda saat tiba di akmil magelang,video momen prabowo naik maung garuda saat tiba di akmil magelang,video momen prabowo maung garuda akmil magelang,"['video', 'momen', 'prabowo', 'maung', 'garuda', 'akmil', 'magelang']","['video', 'momen', 'prabowo', 'maung', 'garuda', 'akmil', 'magelang']",video momen prabowo maung garuda akmil magelang,netral
Harmonisnya Presiden Prabowo-Jokowi Makan Malem Bareng di Solo,harmonisnya presiden prabowo-jokowi makan malem bareng di solo,harmonisnya presiden prabowo jokowi makan malem bareng di solo,harmonisnya presiden prabowo jokowi makan malam bareng di solo,harmonisnya presiden prabowo jokowi makan malam bareng solo,"['harmonisnya', 'presiden', 'prabowo', 'jokowi', 'makan', 'malam', 'bareng', 'solo']","['harmonis', 'presiden', 'prabowo', 'jokowi', 'makan', 'malam', 'bareng', 'solo']",harmonis presiden prabowo jokowi makan malam bareng solo,negatif
